State	Clinton	Trump	Unsure	Margin of Error	Electoral College Votes
AK	31.5%	52.5%	16%	4.3%	3
AL	33.3%	52.3%	14.4%	2.3%	9
AR	36.6%	46.7%	16.7%	2.6%	6
AZ	37.9%	45.8%	16.3%	2.1%	11
CA	52.1%	32.3%	15.7%	1.3%	55
CO	45.3%	37%	17.7%	2.2%	9
CT	44.6%	39.6%	15.8%	3%	7
DC	65.7%	20.2%	14.1%	2.7%	3
DE	44.5%	39.4%	16.1%	2.9%	3
FL	42.6%	42.1%	15.4%	1.4%	29
GA	42.8%	41.8%	15.5%	1.7%	16
HI	49.6%	30.5%	19.9%	3.1%	4
IA	40.1%	40.1%	19.9%	2.3%	6
ID	33.8%	44.8%	21.4%	2.9%	4
IL	48.2%	35.2%	16.7%	1.8%	20
IN	36.7%	45%	18.3%	2.1%	11
KS	35%	45.6%	19.4%	2.5%	6
KY	34.7%	49.1%	16.3%	2.1%	8
LA	32.9%	50.7%	16.4%	2.5%	8
MA	49.8%	33.3%	16.9%	2.2%	11
MD	51.1%	32.8%	16.1%	2.5%	10
ME	38.8%	40.8%	20.4%	3.4%	4
MI	41.9%	39.3%	18.8%	2.1%	16
MN	45%	35.2%	19.8%	2.6%	10
MO	36.6%	45.2%	18.2%	2.3%	10
MS	33.2%	51.1%	15.8%	2.5%	6
MT	35.8%	45.3%	18.9%	2.6%	3
NC	40.2%	43.2%	16.6%	1.8%	15
ND	35.6%	44.2%	20.2%	2.5%	3
NE	35.3%	47.7%	17%	2.7%	5
NH	41.3%	40.5%	18.2%	3%	4
NJ	46.3%	36.6%	17.1%	2%	14
NM	42.7%	39.8%	17.4%	3.2%	5
NV	43.5%	39.6%	16.9%	2.7%	6
NY	50.9%	33.7%	15.4%	1.3%	29
OH	40.9%	41.7%	17.4%	1.6%	18
OK	33.9%	47.9%	18.2%	3%	7
OR	45.1%	36.3%	18.7%	2.2%	7
PA	42.5%	42.1%	15.3%	1.5%	20
RI	47.3%	35.7%	17%	3%	4
SC	36.6%	46.2%	17.1%	2.4%	9
SD	32.4%	46.7%	20.9%	3.4%	3
TN	33.4%	49%	17.6%	1.9%	11
TX	38.2%	43.5%	18.3%	1.3%	38
UT	33.3%	44.8%	21.9%	3.5%	6
VA	43.6%	38.9%	17.5%	1.9%	13
VT	48.5%	32.1%	19.4%	3.8%	3
WA	47.6%	33.8%	18.5%	2.1%	12
WI	41.4%	39.4%	19.1%	2.3%	10
WV	27.9%	55.7%	16.4%	2.6%	5
WY	24.5%	58.5%	16.9%	3.4%	3
